city,lat,lon
Ooty,11.4127,76.7031
Pali,25.4552,73.4194
Palkalaiperur,10.8071,78.6881
Palwal,28.0599,77.3223
Panchkula,30.6975,76.8551
Panipat,29.3913,76.9772
Parbhani,19.2902,76.6026
Patiala,30.2093,76.3397
Patna,25.6093,85.1235
Pimpri Chinchwad,18.6279,73.801
Pithampur,22.6106,75.679
Pratapgarh,25.75,81.75
Prayagraj,25.4381,81.8338
Puducherry,10.9156,79.8069
Pune,18.5214,73.8545
Purnia,25.7759,87.4088
Raichur,16.0547,76.9004
Raipur,21.2381,81.6337
Rairangpur,22.2157,86.2325
Rajamahendravaram,17.005,81.7805
Rajgir,25.03,85.4207
Rajsamand,25.2892,73.8241
Ramanagara,12.72,77.3184
Ramanathapuram,9.5206,78.5185
Ratlam,23.5022,74.9552
Rishikesh,30.1087,78.2916
Rohtak,28.9011,76.5802
Rourkela,22.2309,84.8679
Rupnagar,31.0917,76.529
Sagar,23.8083,78.7583
Saharsa,25.8331,86.6144
Salem,11.647,78.2107
Samastipur,25.7748,85.8672
Sangli,17.1727,74.5868
Sasaram,24.951,84.0149
Satna,24.6954,80.777
Sawai Madhopur,26.229,76.3044
Shillong,25.576,91.8828
Shivamogga,13.9326,75.575
Sikar,27.6624,75.028
Silchar,24.8303,92.7876
Siliguri,26.7164,88.431
Singrauli,24.2431,82.3828
Sirohi,24.8114,72.83
Sirsa,29.6063,74.9037
Sivasagar,26.9835,94.6394
Siwan,26.131,84.3911
Solapur,17.8499,75.2763
Sonipat,28.9954,77.0234
Sri Ganganagar,29.4606,73.5851
Srinagar,34.0747,74.8204
Suakati,21.5,85.5833
Surat,21.2095,72.8317
Talcher,20.9322,85.2006
Tensa,21.8782,85.1843
Thane,19.3654,73.3685
Thiruvananthapuram,8.4882,76.9476
Thoothukudi,8.8457,77.9938
Thrissur,10.527,76.2146
Tiruchirappalli,10.8071,78.6881
Tirupati,13.6316,79.4232
Tirupur,11.1672,77.3473
Tonk,26.1223,75.6632
Tumakuru,13.4193,76.881
Tumidih,23.7167,86.411
Udaipur,24.5787,73.6863
Udupi,13.527,74.8732
Ujjain,23.1885,75.7717
Ulhasnagar,19.2236,73.1672
Vapi,20.3735,72.9084
Varanasi,25.3356,83.0076
Vatva,22.959,72.6298
Vellore,12.9022,79.0611
Vijayapura,16.8144,75.8934
Vijayawada,16.5115,80.616
Visakhapatnam,17.6936,83.2921
Vrindavan,27.5754,77.6938
Yadgir,16.5744,76.9254
Yamunanagar,30.1231,77.2863
